svt_date,bottle,pump,diaper_change,tummy_time,bottle_volume,pump_volume
2022-03-05,8.0,8.0,12.0,0.0,970.0,1175.0
2022-03-06,7.0,7.0,16.0,0.0,840.0,1050.0
2022-03-07,10.0,8.0,15.0,0.0,1200.0,1285.0
2022-03-08,7.0,7.0,15.0,0.0,895.0,1310.0
2022-03-09,8.0,5.0,16.0,1.0,955.0,1145.0
2022-03-10,7.0,5.0,15.0,3.0,875.0,1220.0
2022-03-11,7.0,6.0,16.0,2.0,905.0,1430.0
2022-03-12,7.0,6.0,14.0,4.0,875.0,1250.0
2022-03-13,8.0,7.0,15.0,4.0,990.0,1305.0
2022-03-14,7.0,6.0,13.0,3.0,890.0,1165.0
2022-03-15,6.0,6.0,12.0,3.0,760.0,1240.0
2022-03-16,7.0,6.0,10.0,3.0,870.0,1230.0
2022-03-17,8.0,8.0,10.0,5.0,1005.0,1470.0
2022-03-18,7.0,5.0,9.0,3.0,900.0,1020.0
2022-03-19,7.0,6.0,11.0,3.0,890.0,1280.0
2022-03-20,7.0,7.0,11.0,7.0,840.0,1270.0
2022-03-21,7.0,7.0,13.0,6.0,940.0,1240.0
2022-03-22,8.0,6.0,10.0,3.0,965.0,1190.0
2022-03-23,6.0,6.0,8.0,2.0,730.0,1290.0
2022-03-24,8.0,6.0,8.0,0.0,820.0,1360.0
2022-03-25,8.0,5.0,8.0,0.0,1035.0,1130.0
2022-03-26,6.0,6.0,7.0,0.0,785.0,1360.0
2022-03-27,6.0,6.0,8.0,4.0,790.0,1420.0
2022-03-28,7.0,6.0,9.0,5.0,850.0,1420.0
2022-03-29,7.0,6.0,8.0,6.0,875.0,1410.0
2022-03-30,7.0,5.0,8.0,5.0,895.0,1300.0
2022-03-31,7.0,5.0,7.0,3.0,960.0,1400.0
2022-04-01,7.0,5.0,10.0,3.0,975.0,1365.0
2022-04-02,7.0,6.0,8.0,3.0,1115.0,1565.0
2022-04-03,8.0,5.0,11.0,4.0,1220.0,1320.0
2022-04-04,7.0,5.0,8.0,5.0,1220.0,1340.0
2022-04-05,6.0,5.0,9.0,3.0,1125.0,1440.0
2022-04-06,6.0,5.0,8.0,2.0,1065.0,1480.0
2022-04-07,7.0,5.0,9.0,4.0,1180.0,1450.0
2022-04-08,7.0,5.0,8.0,2.0,1200.0,1480.0
2022-04-09,7.0,5.0,8.0,2.0,1040.0,1430.0
2022-04-10,7.0,5.0,7.0,1.0,1190.0,1690.0
2022-04-11,6.0,4.0,6.0,4.0,1110.0,1450.0
2022-04-12,7.0,3.0,6.0,4.0,1250.0,1080.0
2022-04-13,6.0,4.0,6.0,2.0,1070.0,1320.0
2022-04-14,7.0,4.0,8.0,4.0,1170.0,1315.0
2022-04-15,7.0,5.0,6.0,2.0,1085.0,1650.0
2022-04-16,6.0,4.0,9.0,4.0,990.0,1350.0
2022-04-17,6.0,3.0,4.0,5.0,930.0,1140.0
2022-04-18,6.0,4.0,9.0,1.0,940.0,1265.0
2022-04-19,6.0,4.0,6.0,3.0,920.0,1325.0
2022-04-20,6.0,4.0,5.0,3.0,890.0,1400.0
2022-04-21,6.0,5.0,6.0,4.0,1045.0,1500.0
2022-04-22,6.0,4.0,5.0,3.0,1130.0,1365.0
2022-04-23,6.0,4.0,5.0,3.0,920.0,1310.0
2022-04-24,5.0,3.0,4.0,5.0,895.0,1075.0
2022-04-25,6.0,5.0,6.0,4.0,1010.0,1555.0
2022-04-26,6.0,4.0,7.0,5.0,980.0,1330.0
2022-04-27,6.0,4.0,6.0,7.0,960.0,1280.0
2022-04-28,5.0,4.0,5.0,6.0,800.0,1220.0
2022-04-29,6.0,4.0,8.0,6.0,890.0,1420.0
2022-04-30,6.0,4.0,8.0,4.0,845.0,1285.0
2022-05-01,5.0,3.0,5.0,2.0,850.0,1190.0
2022-05-02,6.0,3.0,5.0,10.0,900.0,1230.0
2022-05-03,6.0,3.0,7.0,7.0,880.0,1140.0
2022-05-04,6.0,4.0,7.0,6.0,880.0,1210.0
2022-05-05,5.0,3.0,5.0,4.0,800.0,1135.0
2022-05-06,6.0,3.0,6.0,5.0,885.0,1155.0
2022-05-07,6.0,3.0,5.0,4.0,940.0,1020.0
2022-05-08,6.0,4.0,7.0,4.0,940.0,1170.0
2022-05-09,5.0,2.0,5.0,6.0,835.0,790.0
2022-05-10,5.0,4.0,6.0,8.0,925.0,1490.0
2022-05-11,6.0,3.0,5.0,4.0,870.0,1230.0
2022-05-12,6.0,3.0,6.0,6.0,830.0,1180.0
2022-05-13,5.0,3.0,7.0,3.0,860.0,1080.0
2022-05-14,6.0,3.0,9.0,6.0,860.0,1130.0
2022-05-15,6.0,3.0,6.0,6.0,885.0,1130.0
2022-05-16,6.0,3.0,7.0,3.0,880.0,1130.0
2022-05-17,6.0,3.0,8.0,4.0,930.0,1110.0
2022-05-18,6.0,3.0,6.0,6.0,870.0,1165.0
2022-05-19,6.0,3.0,6.0,4.0,885.0,1135.0
2022-05-20,6.0,3.0,8.0,5.0,895.0,1095.0
2022-05-21,6.0,3.0,7.0,4.0,885.0,1125.0
2022-05-22,6.0,2.0,7.0,6.0,995.0,740.0
2022-05-23,6.0,4.0,6.0,5.0,885.0,1440.0
2022-05-24,6.0,3.0,7.0,6.0,895.0,1120.0
2022-05-25,6.0,3.0,6.0,5.0,915.0,1030.0
2022-05-26,6.0,2.0,8.0,4.0,930.0,720.0
2022-05-27,6.0,4.0,8.0,4.0,860.0,1400.0
2022-05-28,6.0,3.0,8.0,3.0,920.0,1015.0
2022-05-29,7.0,3.0,8.0,3.0,895.0,1045.0
2022-05-30,5.0,3.0,5.0,4.0,860.0,1085.0
2022-05-31,5.0,3.0,5.0,4.0,845.0,1030.0
2022-06-01,5.0,3.0,6.0,5.0,840.0,1010.0
2022-06-02,6.0,3.0,6.0,5.0,870.0,1000.0
2022-06-03,5.0,2.0,7.0,5.0,805.0,740.0
2022-06-04,6.0,3.0,7.0,2.0,865.0,990.0
2022-06-05,5.0,4.0,5.0,4.0,855.0,1370.0
2022-06-06,5.0,3.0,6.0,4.0,890.0,1060.0
2022-06-07,6.0,3.0,7.0,4.0,975.0,1025.0
2022-06-08,5.0,3.0,8.0,3.0,840.0,1040.0
2022-06-09,6.0,3.0,6.0,3.0,880.0,1060.0
2022-06-10,5.0,2.0,5.0,3.0,925.0,670.0
2022-06-11,7.0,4.0,6.0,4.0,880.0,1280.0
2022-06-12,7.0,3.0,6.0,3.0,885.0,1020.0
2022-06-13,6.0,3.0,5.0,2.0,850.0,1005.0
2022-06-14,5.0,3.0,5.0,4.0,850.0,1045.0
2022-06-15,5.0,3.0,5.0,3.0,890.0,1050.0
2022-06-16,5.0,3.0,5.0,3.0,930.0,990.0
2022-06-17,6.0,3.0,7.0,4.0,1050.0,985.0
2022-06-18,5.0,2.0,6.0,4.0,890.0,680.0
2022-06-19,5.0,4.0,5.0,3.0,940.0,1310.0
2022-06-20,5.0,3.0,5.0,2.0,930.0,1005.0
2022-06-21,5.0,3.0,6.0,2.0,840.0,1030.0
2022-06-22,5.0,3.0,7.0,4.0,870.0,970.0
2022-06-23,5.0,3.0,6.0,3.0,895.0,1030.0
2022-06-24,5.0,3.0,5.0,3.0,910.0,1055.0
2022-06-25,6.0,3.0,7.0,4.0,970.0,1015.0
2022-06-26,5.0,3.0,7.0,4.0,940.0,1040.0
2022-06-27,5.0,3.0,4.0,3.0,830.0,990.0
2022-06-28,5.0,3.0,6.0,5.0,890.0,1010.0
2022-06-29,5.0,3.0,5.0,3.0,930.0,980.0
2022-06-30,5.0,3.0,6.0,3.0,1010.0,1010.0
2022-07-01,5.0,3.0,7.0,4.0,900.0,975.0
2022-07-02,5.0,2.0,8.0,4.0,950.0,720.0
2022-07-03,5.0,4.0,5.0,5.0,900.0,1345.0
2022-07-04,5.0,3.0,6.0,3.0,880.0,1000.0
2022-07-05,5.0,3.0,5.0,3.0,930.0,980.0
2022-07-06,5.0,3.0,5.0,4.0,950.0,1060.0
2022-07-07,5.0,2.0,6.0,3.0,915.0,635.0
2022-07-08,5.0,4.0,8.0,3.0,925.0,1295.0
2022-07-09,5.0,2.0,6.0,5.0,910.0,650.0
2022-07-10,6.0,4.0,7.0,3.0,980.0,1270.0
2022-07-11,4.0,3.0,4.0,2.0,750.0,985.0
2022-07-12,4.0,3.0,6.0,3.0,770.0,1050.0
2022-07-13,4.0,3.0,7.0,2.0,775.0,1010.0
2022-07-14,4.0,3.0,6.0,2.0,785.0,975.0
2022-07-15,4.0,3.0,6.0,2.0,810.0,940.0
2022-07-16,4.0,3.0,6.0,3.0,850.0,990.0
2022-07-17,4.0,2.0,5.0,4.0,780.0,650.0
